id,line_id,firm,org,neworg,finalorg,mission,category,issue,comments,amlawrank
207,521,Milbank Tweed,Volunteers of Legal Service,,Volunteers of Legal Service,The mission of Volunteers of Legal Service (VOLS) is to provide pro bono civil legal services to benefit poor people in New York City. We identify areas of legal need create projects to meet these needs and recruit and train volunteer lawyers to provide,2,Legal Services,,41
,,Miller Canfield Paddock and Stone,Ann Arbor Teen Center,,Ann Arbor Teen Center,The Neutral Zone is a diverse youth-driven teen center dedicated to promoting personal growth through artistic expression community leadership and the exchange of ideas.,3,Children,,151
,,Miller Canfield Paddock and Stone,Child Advocacy Law Clinic,,Child Advocacy Law Clinic,The Child Advocacy Clinic (CAC) has a twofold mission of (1) serving the needs of children and families who are at risk and living in poverty in Newark and the surrounding areas and (2) educating law students to be thoughtful and highly skilled practitioners.,3,Children,,151
,,Miller Canfield Paddock and Stone,Detroit Metropolitan Bar Association,,Detroit Metropolitan Bar Association,,4,profession,,151
,,Miller Canfield Paddock and Stone,Gateway Community Services,,Gateway Community Services,The mission of Gateway Community Services is to provide essential services to youth and families that empower and strengthen them to become stable and self-sustaining members of the community. We will achieve the mission through effective teamwork with a focus on leadership accountability mutual respect and compassion.,3,Children,,151
,,Miller Canfield Paddock and Stone,Kalamazoo County Bar Association,,Kalamazoo County Bar Association,The Kalamazoo County Bar Association and its individual members work every day to improve the administration of justice in Kalamazoo County to improve relations between our profession and the public and to enhance the professional development of lawyers living and working in this community.,4,Profession,,151
,,Miller Canfield Paddock and Stone,Salvation Army ,,Salvation Army ,The Salvation Army an international movement is an evangelical part of the universal Christian church. Its message is based on the Bible. Its ministry is motivated by the love of God. Its mission is to preach the gospel of Jesus Christ and to meet human needs in His name without discrimination.,3,Religion,,151
,,Miller Canfield Paddock and Stone,SOS Community Legal Resources,,SOS Community Legal Resources,Community Legal Resources helps nonprofit organizations in Detroit and throughout Michigan find affordable legal services.,3,Nonprofits,,151
,,Miller Canfield Paddock and Stone,United Cerebral Palsy,,United Cerebral Palsy,United Cerebral Palsy (UCP) educates advocates and provides support services to ensure a life without limits for people with a spectrum of disabilities.,3,Health/Disability,,151
,,Miller Canfield Paddock and Stone,Wayne County Juvenile Court System,,Wayne County Juvenile Court System,,3,Prisoner's Rights,,151
212,527,Mintz Levin,Boston Medical Center's Family Advocacy Program,,Boston Medical Center's Family Advocacy Program,The Family Advocacy Program was founded by the Boston Medical Center Pediatrics Department in <newline>1993. The FAP which employs two staff attorneys provides advocacy and legal services to Boston Medical <newline>Center patient families to ensure that,3,Children,,91
212,528,Mintz Levin,Greater Boston Food Bank,,Greater Boston Food Bank, <newline>About Us <newline>Mission:  To help end hunger in eastern Massachusetts. <newline>To achieve our mission The Food Bank feeds more than 320000 people annually in nine counties in eastern Massachusetts. They're poor to middle-class people who ca,3,Other,,91
212,534,Mintz Levin,Innocence Project,,Innocence Project,Mission Statement <newline>The Innocence Project was founded in 1992 by Barry C. Scheck and Peter J. Neufeld at the Benjamin N. Cardozo School of Law at Yeshiva University to assist prisoners who could be proven innocent through DNA testing. To date 234 ,3,Prisoner's Rights,,91
212,532,Mintz Levin,Lawyers Committee for Civil Rights Under Law,,Lawyers Committee for Civil Rights Under Law,The Lawyers' Committee for Civil Rights Under Law a nonpartisan nonprofit organization was formed in 1963 at the request of President John F. Kennedy to involve the private bar in providing legal services to address racial discrimination. The principal,3,Civil Rights/Civil Liberties,,91
212,535,Mintz Levin,Mississippi Center for Justice,,Mississippi Center for Justice,Mission <newline>The Mississippi Center for Justice is a nonprofit public interest law firm committed to advancing racial and economic justice.  Supported and staffed by attorneys community leaders and volunteers the Center develops and pursues strateg,3,Civil Rights/Civil Liberties,,91
212,529,Mintz Levin,National Network to End Domestic Violence (NNEDV),,National Network to End Domestic Violence (NNEDV),The National Network to End Domestic Violence (NNEDV) a social change organization is dedicated to creating a social political and economic environment in which violence against women no longer exists.Making domestic violence a national priority. <newl,3,Women's Rights,,91
212,531,Mintz Levin,Pine Street Inn,,Pine Street Inn,The mission of Pine Street Inn is to be a community of respect and hope for each guest it serves;to be a resource through which neighbors and friends can help to meet the basic needs of others; and to serve as a national leader in the fight to end homeles,3,Housing/Homeless,,91
212,526,Mintz Levin,Political Asylum/Immigration Representation Project (PAIR),,Political Asylum/Immigration Representation Project (PAIR),The Political Asylum/ Immigration Representation Project (PAIR) is a nationally recognized model that works to secure safety and freedom for asylum-seekers who have fled from persecution throughout the world and to promote the rights of immigrants unjustl,3,Immigration,,91
212,530,Mintz Levin,Rape Survivors Law Project,,Rape Survivors Law Project,Founded as the first law center in the nation dedicated solely to serving the legal needs of sexual assault victims the Victim Rights Law Center Advocates for sexual assault victims' legal rights within the civil academic and criminal justice systems. W,3,Women's Rights,,91
212,533,Mintz Levin,William J Clinton Foundation's HIV/AIDS  Initiative,,William J Clinton Foundation's HIV/AIDS  Initiative,Mission <newline>The mission of the William J. Clinton Foundation is to strengthen the capacity of people in the United States and throughout the world to meet the challenges of global interdependence. To advance this mission the Clinton Foundation has d,3,Health/Disability,,91
,,Moore and Van Allen,AARP Legal Counsel for the Elderly,,AARP Legal Counsel for the Elderly,Legal Services for the Elderly's mission is to provide free high quality legal services to Maine's socially and economically needy elderly aged 60 and over. While many people recognize income as a barrier to obtaining necessary legal help many seniors with social needs also face barriers to getting assistance. Social needs include needs caused by non-economic factors such as physical and mental disabilities language barriers and cultural social or geographic isolation.,3,Elder,,162
,,Moore and Van Allen,Afro-American Cultural Center,,Afro-American Cultural Center,The mission of the Afro American Cultural Center at Yale is to develop process functions and attributes throughout Yale and the City of New Haven that are reciprocal and interactive resulting in a sense of community cultural vision competence efficacy permanence spiritual well-being and integrity.,1,Culture,,162
,,Moore and Van Allen,Children's Law Center,,Children's Law Center,The Children's Law Center (CLC) envisions a future for the District of Columbia in which every child has a safe home a meaningful education and a healthy mind and body. We work towards this vision by providing legal services to at-risk children and their,3,Children,,162
,,Moore and Van Allen,Community Development Corporation,,Community Development Corporation,,3,Business/Economic Development,,162
,,Moore and Van Allen,Devonshire Elementary School,,Devonshire Elementary School,,3,Education,,162
,,Moore and Van Allen,Hispanic Outreach Task Force,,Hispanic Outreach Task Force,Our mission is to improve the quality of life of Hispanics and the community through programs in education health economic development financial literacy and the cultural arts.,3,Other,,162
,,Moore and Van Allen,Legal Aid of North Carolina,,Legal Aid of North Carolina,The Mission of the Legal Aid of North Carolina Client Council is to educate and empower poor and low-income citizens regarding rights responsibilities and available resources necessary for them to achieve economic political and social justice.,2,Legal Services,,162
,,Moore and Van Allen,Legal Services of Southern Piedmont,,Legal Services of Southern Piedmont,Legal Services of Southern PiedmontÍs mission is to assure a full measure of justice for those in need. LSSP provides a wide range of civil legal assistance to eligible low-income persons in the Charlotte metropolitan area and west-central NC. LSSP accomplishes its mission through a variety of legal advocacy strategies including individual advice and representation community education and outreach representation of groups self-help remedies collaboration with other agencies community economic development legislative and administrative advocacy and impact litigation.,2,Legal Services,,162
,,Moore and Van Allen,Salvation Army ,,Salvation Army ,The Salvation Army an international movement is an evangelical part of the universal Christian church. Its message is based on the Bible. Its ministry is motivated by the love of God. Its mission is to preach the gospel of Jesus Christ and to meet human needs in His name without discrimination.,3,Religion,,162
214,543,Morgan Lewis,Capital Area Immigrant Rights Coalition,,Capital Area Immigrant Rights Coalition,The Capital Area Immigrants' Rights Coalition (CAIR Coalition) provides services to the immigrant advocacy community in the greater Washington DC metropolitan area. CAIR Coalition brings together community groups pro bono attorneys volunteers and immig,3,Immigration,,16
214,540,Morgan Lewis,D.C. Bar Public Service Activities Corporation,D.C. Bar,D.C. Bar,The D.C. Bar began a public service activities program in 1975 to provide legal assistance to the District's indigent and lower income residents. In the late 1980s in the aftermath of referenda restricting the use of member dues the Bar created the Pro ,2,Legal Services,,16
214,542,Morgan Lewis,Homeless Advocacy Project,,Homeless Advocacy Project, <newline>The Homeless Advocacy Project (HAP) exists to meet the legal and advocacy needs of homeless individuals and families in Philadelphia. With a legal staff of six and a corps of 300 volunteer lawyers paralegals and law students HAP engages in di,3,Housing/Homeless,,16
214,538,Morgan Lewis,Lawyers Committee for Civil Rights of the San Francisco Bay Area,,Lawyers Committee for Civil Rights of the San Francisco Bay Area,OUR MISSION <newline>The Lawyers' Committee for Civil Rights champions the legal rights of people of color poor people immigrants and refugees with a special commitment to African-Americans.http://www.lccr.com/,3,Civil Rights/Civil Liberties,,16
214,545,Morgan Lewis,NAACP,,NAACP,Our Mission <newline>The mission of the National Association for the Advancement of Colored People is to ensure the political educational social and economic equality of rights of all persons and to eliminate racial hatred and racial discrimination. <n,3,Civil Rights/Civil Liberties,,16
214,544,Morgan Lewis,National Center for Refugee and Immigrant Children,,National Center for Refugee and Immigrant Children,Our mission is to provide pro bono legal and social services for unaccompanied immigrant children as they navigate the U.S. Immigration Courts.  These children often fleeing domestic abuse gang violence trafficking or poverty arrive in the U.S. withou,3,Immigration,,16
214,539,Morgan Lewis,Put Something Back,,Put Something Back,The Put Something Back Pro Bono Project is the official program for providing pro bono or free legal assistance to the needy population of Miami-Dade County. It is designed to increase access to the civil legal system by serving as an umbrella agency for,2,Legal Services,,16
214,537,Morgan Lewis,Sanctuary for Families,,Sanctuary for Families,Sanctuary for Families envisions a society in which freedom from domestic violence is a basic human right. We are dedicated to the safety healing and self-sufficiency of battered women and their children. To that end we offer a broad range of high qual,3,Women's Rights,,16
214,536,Morgan Lewis,Support Center for Child Advocates,,Support Center for Child Advocates,The Support Center for Child Advocates provides legal assistance and social service advocacy to abused and neglected children in Philadelphia County. Child Advocates is one of the most successful volunteer models serving children in the country. Since its,3,Children,,16
214,541,Morgan Lewis,Volunteer Lawyers for the Arts,,Volunteer Lawyers for the Arts,Our Mission <newline>Since 1969 Volunteer Lawyers for the Arts has been the leading provider of pro bono legal services mediation services educational programs and publications and advocacy to the arts community in the New York area. Through public ad,1,Culture,,16
216,546,Morrison & Foerster,ACLU,,ACLU,The ACLU is our nation's guardian of liberty working daily in courts legislatures and communities to defend and preserve the individual rights and liberties that the Constitution and laws of the United States guarantee everyone in this country.http://ww,3,Civil Rights/Civil Liberties,,22
216,555,Morrison & Foerster,Animal Legal Defense Fund,,Animal Legal Defense Fund,For more than a quarter-century the Animal Legal Defense Fund has been fighting to protect the lives and advance the interests of animals through the legal system. Founded in 1979 by attorneys active in shaping the emerging field of animal law ALDF‰ã¢ h,3,Animals,,22
216,554,Morrison & Foerster,Disability Rights Education & Defense Fund,,Disability Rights Education & Defense Fund,About DREDF <newline>The Disability Rights Education and Defense Fund founded in 1979 is a leading national civil rights law and policy center directed by individuals with disabilities and parents who have children with disabilities. <newline>Our Missio,3,Health/Disability,,22
216,552,Morrison & Foerster,Human Rights Watch,,Human Rights Watch, <newline>Human Rights Watch is a nonprofit nongovernmental human rights organization made up of more than 275 staff members around the globe. Its staff consists of human rights professionals including country experts lawyers journalists and academics,3,Human Rights/International,,22
216,548,Morrison & Foerster,LAMBDA Legal Defense and Education Fund,,LAMBDA Legal Defense and Education Fund,Lambda Legal is a national organization committed to achieving full recognition of the civil rights of lesbians gay men bisexuals transgender people and those with HIV through impact litigation education and public policy work.http://www.lambdalegal.o,3,LGBT,,22
216,547,Morrison & Foerster,Lawyers Committee for Civil Rights Under Law,,Lawyers Committee for Civil Rights Under Law,The Lawyers' Committee for Civil Rights Under Law a nonpartisan nonprofit organization was formed in 1963 at the request of President John F. Kennedy to involve the private bar in providing legal services to address racial discrimination. The principal,3,Civil Rights/Civil Liberties,,22
216,551,Morrison & Foerster,Legal Aid Society,,Legal Aid Society,Mission of The Legal Aid Society <newline>The Legal Aid Society is the nation's oldest and largest provider of legal services to the indigent. Founded in 1876 the Society provides a full range of civil legal services as well as criminal defense work and,2,Legal Services,,22
216,550,Morrison & Foerster,Legal Momentum,,Legal Momentum,Founded in 1970 Legal Momentum (formerly NOW Legal Defense and Education Fund) is the country's oldest national legal advocacy organization dedicated to achieveing women's equality. Through strategic litigation public policy advocacy and broad educatio,3,Women's Rights,,22
216,549,Morrison & Foerster,Legal Services for Children,,Legal Services for Children,Legal Services for Children (LSC) was founded in 1975 as one of the first non-profit law firms in the country to provide free legal representation and social work services to children and youth. <newline>LSC's mission is to ensure that all children and yo,3,Children,,22
216,553,Morrison & Foerster,Nature Conservancy,,Nature Conservancy,As indispensable to The Nature Conservancy's success as our unifying mission vision goals and measures are our unique values‰ÛÓthe distinguishing attributes that characterize how we conduct ourselves in our drive for tangible lasting results. These att,3,Environment,,22
,,Munger Tolles and Olson,ACLU,,ACLU,The ACLU is our nation's guardian of liberty working daily in courts legislatures and communities to defend and preserve the individual rights and liberties that the Constitution and laws of the United States guarantee everyone in this country.http://ww,3,Civil Rights/Civil Liberties,,129
,,Munger Tolles and Olson,Alliance for Children's Rights,,Alliance for Children's Rights,The Alliance for Children's Rights is protecting the rights and futures of abused and impoverished children throughout Los Angeles County in hopes of creating a world in which all children are able to have a safe and permanent family access to quality h,3,Children,,129
,,Munger Tolles and Olson,Bet Tzedek,,Bet Tzedek,Bet Tzedek The House of Justice provides free legal assistance to thousands of people who would otherwise be denied access to the legal system underpinning our democracy. http://www.bettzedek.org/mission.html,2,Legal Services,,129
,,Munger Tolles and Olson,California Commission for Jobs and Economic Growth,,California Commission for Jobs and Economic Growth,can't find,3,Labor,,129
,,Munger Tolles and Olson,Californians for Stem Cell Research,,Californians for Stem Cell Research,Join in us in our mission to create public awareness ofæ the political issues involving life saving research and the new cures and therapies that are possible with the necessary funding needed for research.ææ,3,Health/Disability,,129
,,Munger Tolles and Olson,Charles R Drew University of Medicine,,Charles R Drew University of Medicine,The mission of the College of Medicine is to provide education research and clinical service in the context of community engagement in order to train physician leaders who promote wellness who provide care with excellence and compassion and who are committed to transforming the health of diverse and underserved communities.,3,Health/Disability,,129
,,Munger Tolles and Olson,Lawyers Committee for Civil Rights Under Law,,Lawyers Committee for Civil Rights Under Law,OUR MISSION <newline>The Lawyers' Committee for Civil Rights champions the legal rights of people of color poor people immigrants and refugees with a special commitment to African-Americans.http://www.lccr.com/,3,Civil Rights/Civil Liberties,,129
,,Munger Tolles and Olson,Los Angeles Neighborhood Land Trust,,Los Angeles Neighborhood Land Trust,The Los Angeles Neighborhood Land Trust (LANLT) is an independent non-profit organization that facilitates the creation of small accessible community green and open space such as parks and gardens to address the inequity of open spaces in Los AngelesÍ underserved neighborhoods and to ensure community participation and collaboration in every step of the process of creating these parks and community gardens.,3,Environment,,129
,,Nelson Mullins Riley and Scarborough,Atlanta Volunteer Lawyers Foundation,Atlanta Volunteer Lawyer's Foundation,Atlanta Volunteer Lawyer's Foundation,The Atlanta Volunteer Lawyers Foundation (AVLF) coordinates the provision of free civil legal services for low-income Fulton County residents by private lawyers. Twelve hundred or more times per year these pro bono services are offered in response to the,2,Legal Services,,124
,,Nelson Mullins Riley and Scarborough,Boy Scouts of America,,Boy Scouts of America,The Boy Scouts of America is one of the nation's largest and most prominent values-based youth development organizations. The BSA provides a program for young people that builds character trains them in the responsibilities of participating citizenship ,3,Children,,124
,,Nelson Mullins Riley and Scarborough,Columbia Museum of Art,,Columbia Museum of Art,The Museum family is grateful for the generous support and vision of the City of Columbia Richland County and the numerous donors and supporters who share the Museum's mission to educate enrich and inspire the community and visitors to our state.,1,Culture,,124
,,Nelson Mullins Riley and Scarborough,Entrepeneur's Foundation of the Southeast,,Entrepeneur's Foundation of the Southeast,The mission of EFSE is to continuously improve the quality of our communities by applying the energy innovation resources and wealth of entrepreneurial companies and their employees to support community needs. EFSE addresses the two resource constraints that early-stage companies face when evaluating their community involvement plans: lack of cash and lack of time. We are creating the critical link between entrepreneurial companies and their communities by providing innovative volunteer and fund raising programs.,3,Business/Economic Development,,124
,,Nelson Mullins Riley and Scarborough,Habitat for Humanity,,Habitat for Humanity,Habitat for Humanity Mission <newline>Habitat for Humanity works in partnership with God and people everywhere from all walks of life to develop communities with people in need by building and renovating houses so that there are decent houses in decent ,3,Housing/Homeless,,124
,,Nelson Mullins Riley and Scarborough,Innocence Project,,Innocence Project,The Innocence Project was founded in 1992 by Barry C. Scheck and Peter J. Neufeld at the Benjamin N. Cardozo School of Law at Yeshiva University to assist prisoners who could be proven innocent through DNA testing. To date 267 people in the United States have been exonerated by DNA testing including 17 who served time on death row. These people served an average of 13 years in prison before exoneration and release.,3,Prisoner's Rights,,124
,,Nelson Mullins Riley and Scarborough,National Center for Missing and Exploited Children,,National Center for Missing and Exploited Children, National Mandate and Mission <newline>The National Center for Missing & Exploited Children'så¨ (NCMEC) mission is to help prevent child abduction and sexual exploitation; help find missing children; and assist victims of child abduction and sexual exploi,3,Children,,124
,,Nelson Mullins Riley and Scarborough,North Carolina Guardian and Litem State Office,,North Carolina Guardian and Litem State Office,In 1983 the North Carolina Legislature created a statewide program to provide children with an independent voice and to advocate for abused and neglected children who are involved in court proceedings.æ A Volunteer Guardian ad Litem and an Attorney Advocate are jointly appointed by a judge.æ Their duty is to ensure protection of the child's legal rights and to promote the best interests of the child.æ The Volunteers who serve as Guardians ad Litem are a diverse group of citizens from various educational economic and ethnic backgrounds.,3,Children,,124
,,Nelson Mullins Riley and Scarborough,Partnership Against Domestic Violence,,Partnership Against Domestic Violence,PADV works to end the crime of intimate partner violence and empower its survivors.,3,Women's Rights,,124
,,Nelson Mullins Riley and Scarborough,South Carolina Centers for Equal Justice,,South Carolina Centers for Equal Justice,South Carolina Legal Services (SCLS) provides free legalæassistance in a wide variety of civil (non-criminal) legal mattersæto eligible low income residents ofæ South Carolina.,2,Legal Services,,124
221,564,Nixon Peabody,Farm Worker Legal Services of New York,,Farm Worker Legal Services of New York,Farmworker Legal Services of New York Inc. (FLSNY) is a not-for-profit corporation providing free legal services and legal education to New York's agricultural workers. FLSNY's lawyers and paralegals provide a wide range of legal advocacy on behalf of fa,3,Labor,,64
221,561,Nixon Peabody,Greater Boston Legal Services,,Greater Boston Legal Services,Greater Boston Legal Services (GBLS) provides free civil (non-criminal) legal assistance to low-income people in Boston and thirty-one additional cities and towns. The help we offer ranges from legal advice to full case representation depending on client,2,Legal Services,,64
221,565,Nixon Peabody,Habitat for Humanity,,Habitat for Humanity,Habitat for Humanity Mission <newline>Habitat for Humanity works in partnership with God and people everywhere from all walks of life to develop communities with people in need by building and renovating houses so that there are decent houses in decent ,3,Housing/Homeless,,64
221,557,Nixon Peabody,Human Rights First,,Human Rights First,Our Mission <newline>Human Rights First believes that building respect for human rights and the rule of law will help ensure the dignity to which every individual is entitled and will stem tyranny extremism intolerance and violence. <newline>Human Righ,3,Human Rights/International,,64
221,558,Nixon Peabody,Lawyers Alliance for New York,,Lawyers Alliance for New York, <newline>Mission <newline>Lawyers Alliance for New York is the leading provider of business and transactional legal services for nonprofit organizations that are improving the quality of life in New York City neighborhoods. Our network of pro bono lawyer,3,Nonprofits,,64
221,560,Nixon Peabody,Lawyers Committee for Civil Rights Under Law,,Lawyers Committee for Civil Rights Under Law,The Lawyers' Committee for Civil Rights Under Law a nonpartisan nonprofit organization was formed in 1963 at the request of President John F. Kennedy to involve the private bar in providing legal services to address racial discrimination. The principal,3,Civil Rights/Civil Liberties,,64
221,556,Nixon Peabody,Legal Aid Society,,Legal Aid Society,Mission of The Legal Aid Society <newline>The Legal Aid Society is the nation's oldest and largest provider of legal services to the indigent. Founded in 1876 the Society provides a full range of civil legal services as well as criminal defense work and,2,Legal Services,,64
221,563,Nixon Peabody,Public Interest Law Initiative,,Public Interest Law Initiative,The Public Interest Law Initiative (PILI) cultivates a lifelong commitment to public interest law throughout all <newline>of the stages of an individual's legal career. For law students PILI encourages pro bono participation as <newline>well as law stude,4,Profession,,64
221,559,Nixon Peabody,Volunteer Lawyers Project in Boston,Boston Bar Association,Boston Bar Association, Our Mission <newline>The mission of the Volunteer Lawyers Project of the Boston Bar Association is: <newline>a) to provide high quality pro bono legal services in a broad range of civil matters to eligible residents of the greater Boston area including,2,Legal Services,,64
221,562,Nixon Peabody,Volunteer Legal Services in Rochester,,Volunteer Legal Services in Rochester,To improve the quality of life of low income residents of Monroe County by ensuring the existence of a readily available panel of skilled volunteer attorneys to resolve serious legal problems. http://www.vlsprochester.org/index.php?section=Mission,2,Legal Services,,64
499,569,O'Melveny & Myers,Alliance for Children's Rights,,Alliance for Children's Rights,The Alliance for Children's Rights is protecting the rights and futures of abused and impoverished children throughout Los Angeles County in hopes of creating a world in which all children are able to have a safe and permanent family access to quality h,3,Children,,15
499,568,O'Melveny & Myers,Bet Tzedek,,Bet Tzedek,Bet Tzedek The House of Justice provides free legal assistance to thousands of people who would otherwise be denied access to the legal system underpinning our democracy. http://www.bettzedek.org/mission.html,2,Legal Services,,15
499,570,O'Melveny & Myers,Habitat for Humanity,,Habitat for Humanity,Habitat for Humanity Mission <newline>Habitat for Humanity works in partnership with God and people everywhere from all walks of life to develop communities with people in need by building and renovating houses so that there are decent houses in decent ,3,Housing/Homeless,,15
499,571,O'Melveny & Myers,Lawyers Committee for Civil Rights of the San Francisco Bay Area,,Lawyers Committee for Civil Rights of the San Francisco Bay Area,OUR MISSION <newline>The Lawyers' Committee for Civil Rights champions the legal rights of people of color poor people immigrants and refugees with a special commitment to African-Americans.http://www.lccr.com/,3,Civil Rights/Civil Liberties,,15
499,566,O'Melveny & Myers,Legal Aid Foundation of Los Angeles,,Legal Aid Foundation of Los Angeles,Mission <newline>The Legal Aid Foundation of Los Angeles (LAFLA) is the frontline law firm for low-income people in Los Angeles. LAFLA is committed to promoting access to justice strengthening communities fighting discrimination and effecting systemic ,2,Legal Services,,15
499,575,O'Melveny & Myers,Legal Aid Society of New York City,Legal Aid Society,Legal Aid Society,Mission of The Legal Aid Society <newline>The Legal Aid Society is the nation's oldest and largest provider of legal services to the indigent. Founded in 1876 the Society provides a full range of civil legal services as well as criminal defense work and,2,Legal Services,,15
499,573,O'Melveny & Myers,Montgomery County Public Defender's office,,Montgomery County Public Defender's office,The Law Office of the Public Defender provides legal representation to citizens accused by the government of criminal conduct that can result in a loss of freedom.  We defend cases including Felonies Misdemeanors Appeals Juvenile and Children's Service,3,Prisoner's Rights,,15
499,567,O'Melveny & Myers,Public Counsel,,Public Counsel,Public Counsel is dedicated to advancing equal justice under law by delivering pro bono legal services to indigent and underrepresented children and adults throughout Los Angeles County ensuring that other community-based organizations serving this popul,2,Legal Services,,15
499,572,O'Melveny & Myers,United States Court of Appeals for the Ninth Circuit (Pro Bono Appellate Project),,United States Court of Appeals for the Ninth Circuit (Pro Bono Appellate Project),Most lawyers who have not had judicial clerkships are surprised to learn that one of three appeals in the 9th Circuit involves a pro se litigant‰ÛÓsomeone who is not represented by counsel. Many (although certainly not all) of these litigants produce inco,3,Prisoner's Rights,,15
499,574,O'Melveny & Myers,Washington Area Lawyers For the Arts,,Washington Area Lawyers For the Arts,Since 1983 Washington Area Lawyers for the Arts has supported artistic expression and creative innovation by serving the legal needs of Washington Maryland and Virginia's arts and cultural communities. <newline>A 501 (c) 3 not-for profit organization W,1,Culture,,15
227,585,Orrick,California Council for the Humanities,,California Council for the Humanities,The mission of the California Council for the Humanities is to foster understanding between people and encourage their engagement in community life through the public use of the humanities. Our experience has demonstrated that one of the most effective wa,1,Culture,,35
227,577,Orrick,Human Rights First,,Human Rights First,Our Mission <newline>Human Rights First believes that building respect for human rights and the rule of law will help ensure the dignity to which every individual is entitled and will stem tyranny extremism intolerance and violence. <newline>Human Righ,3,Human Rights/International,,35
227,580,Orrick,inMotion,,inMotion,Lasting legal solutions for families in domestic crisis <newline>InMotion provides free legal and social services to low-income women in New York City. Our services are designed to address the unique needs of women who suffer from abuse‰ÛÓmost of our clie,3,Women's Rights,,35
227,582,Orrick,Lawyers Alliance for New York,,Lawyers Alliance for New York, <newline>Mission <newline>Lawyers Alliance for New York is the leading provider of business and transactional legal services for nonprofit organizations that are improving the quality of life in New York City neighborhoods. Our network of pro bono lawyer,3,Nonprofits,,35
227,578,Orrick,Lawyers Committee for Civil Rights Under Law,,Lawyers Committee for Civil Rights Under Law,The Lawyers' Committee for Civil Rights Under Law a nonpartisan nonprofit organization was formed in 1963 at the request of President John F. Kennedy to involve the private bar in providing legal services to address racial discrimination. The principal,3,Civil Rights/Civil Liberties,,35
227,576,Orrick,Legal Aid Society of New York City,Legal Aid Society,Legal Aid Society,Mission of The Legal Aid Society <newline>The Legal Aid Society is the nation's oldest and largest provider of legal services to the indigent. Founded in 1876 the Society provides a full range of civil legal services as well as criminal defense work and,2,Legal Services,,35
227,579,Orrick,New York City Gay and Lesbian Anti-Violence Project,,New York City Gay and Lesbian Anti-Violence Project,Mission of the Anti-Violence Project <newline>The New York City Anti-Violence Project is dedicated to eliminating hate violence sexual assault stalking and domestic violence in lesbian gay bisexual transgender queer and HIV-affected communities th,3,LGBT,,35
227,584,Orrick,New York Legal Assistance Group,,New York Legal Assistance Group,The New York Legal Assistance Group (NYLAG) is a nonprofit organization that offers vulnerable New Yorkers the legal help they critically need. NYLAG's mission is to provide free civil legal services to poor and near poor individuals and families residin,2,Legal Services,,35
227,581,Orrick,Public Counsel,,Public Counsel,Public Counsel is dedicated to advancing equal justice under law by delivering pro bono legal services to indigent and underrepresented children and adults throughout Los Angeles County ensuring that other community-based organizations serving this popul,2,Legal Services,,35
227,583,Orrick,Volunteer Legal Services Program of BASF,Volunteer Legal Services of BASF,Volunteer Legal Services of BASF,Every year the Volunteer Legal Services Program (VLSP) serves thousands of people in desperate need of legal help. We've provided this help with the assistance of volunteers throughout the Bay Area for more than 30 years. http://www.sfbar.org/volunteer/in,2,Legal Services,,35
231,593,Patton Boggs,AARP Legal Counsel for the Elderly,,AARP Legal Counsel for the Elderly,For more than 50 years AARP has been serving its members and creating positive social change. <newline>AARP's mission is to enhance the quality of life for all as we age leading positive social change and delivering value to members through information,3,Elder,,97
231,586,Patton Boggs,Archdiocesan Legal Network,,Archdiocesan Legal Network,Founded in 1989 by His Eminence James Cardinal Hickey the Archdiocesan Legal Network is a program of Catholic Charities that provides free legal assistance and representation to low-income individuals and families who are residents of the District of Col,2,Legal Services,,97
231,587,Patton Boggs,Capital Area Immigrant Rights Coalition,,Capital Area Immigrant Rights Coalition,The Capital Area Immigrants' Rights Coalition (CAIR Coalition) provides services to the immigrant advocacy community in the greater Washington DC metropolitan area. CAIR Coalition brings together community groups pro bono attorneys volunteers and immig,3,Immigration,,97
231,589,Patton Boggs,D.C. Employment Justice Center,,D.C. Employment Justice Center,  The EJC is a private non-profit organization with a mission to secure protect and promote workplace justice in the D.C. metropolitan area.  We combine legal services community education organizing and advocacy work to achieve justice for low-wage ,3,Labor,,97
231,588,Patton Boggs,Dallas Volunteer Attorney Program,,Dallas Volunteer Attorney Program,This is a legal services organization in Dallas. The link in google for the Volunteer program takes you to the legal aid organization of northwest texas. http://www.lanwt.org/whatislanwt.asp,2,Legal Services,,97
231,590,Patton Boggs,Human Rights First,,Human Rights First,Our Mission <newline>Human Rights First believes that building respect for human rights and the rule of law will help ensure the dignity to which every individual is entitled and will stem tyranny extremism intolerance and violence. <newline>Human Righ,3,Human Rights/International,,97
231,591,Patton Boggs,Lawyers for Children America,,Lawyers for Children America, <newline>Our Mission - Lawyers for Children America is a lead child advocacy organization protecting the rights of children who are victims of abuse; abandonment and neglect by providing quality pro bono legal representation and collaborating for systema,3,Children,,97
231,592,Patton Boggs,Legal Aid Society for the District of Columbia,Legal Aid Society for the District of Columbia,Legal Aid Society for the District of Columbia, <newline>Welcome <newline>The Legal Aid Society of the District of Columbia was formed in 1932 to provide civil legal aid to individuals families and communities in the District who could not otherwise afford to hire a lawyer. Over the last 75 years Le,2,Legal Services,,97
